method,test_cvar,objective,mean_return,tc_adjusted_return,volatility,sharpe,sortino,max_drawdown,turnover,tail_loss_frequency,oracle_objective,oracle_regret,experiment,regime,seed,n_periods,selected
equal_weight,0.005608614384112048,0.0056948322631013605,-0.0004310893949465613,-0.0004310893949465613,0.002722416017218735,-0.15834809671323533,-0.19987688280594682,-0.1029866944368848,0.0,0.9911111111111112,-0.0077315420718125204,0.013426374334913881,research_grid_v3,well_specified_high_sample,0,900,{}
min_variance,0.004595459494666647,0.004665545605740621,-0.0003495067444601368,-0.0003504305553698707,0.002422745959108815,-0.14464189029300104,-0.19048105456707662,-0.08217455368631443,0.0,0.9911111111111112,-0.0077315420718125204,0.012397087677553141,research_grid_v3,well_specified_high_sample,0,900,{}
two_stage,-0.0034355344489843385,-0.006571701888529577,0.01610731064553818,0.015680837197726196,0.006189143444626329,2.5336037749791283,4082.2006803937957,-5.76190580475755e-05,0.8518234591110512,0.057777777777777775,-0.0077315420718125204,0.0011598401832829432,research_grid_v3,well_specified_high_sample,0,900,{}
robust_two_stage,-0.0032180135031809874,-0.005910608431290016,0.013839482613209836,0.013462974640545144,0.005467596118022865,2.462320615398923,,0.0,0.752015820331005,0.10666666666666667,-0.0077315420718125204,0.0018209336405225042,research_grid_v3,well_specified_high_sample,0,900,{}
mlp_two_stage,-0.0023057025913715587,-0.005387407690843983,0.015836407222740993,0.015408525497362123,0.006166689890535882,2.49867039990306,118.5672456270159,-0.0018402608851297853,0.8553229791876837,0.08444444444444445,-0.0077315420718125204,0.0023441343809685374,research_grid_v3,well_specified_high_sample,0,900,"{""hidden"": 64, ""lr"": 0.001, ""epochs"": 76, ""val_mse"": 0.6789978742599487}"
linear_dfl,-0.00013103672522088035,-0.002128278681166904,0.010299744279861711,0.009986209779730117,0.005197012759447472,1.9215288166562603,25.014522069488788,-0.00538018737914403,0.6273842044814175,0.24888888888888888,-0.0077315420718125204,0.005603263390645616,research_grid_v3,well_specified_high_sample,0,900,"{""hidden"": 0, ""lr"": 0.005, ""epochs"": 172, ""val_objective"": -0.0034886617213487625}"
dfl,-0.0009223989975943866,-0.0033862441263915015,0.012696605362086706,0.012319225643985575,0.005578510192127752,2.2083361359027016,45.66933971350874,-0.0029350716218767836,0.7546692838169565,0.1111111111111111,-0.0077315420718125204,0.004345297945421019,research_grid_v3,well_specified_high_sample,0,900,"{""hidden"": 64, ""lr"": 0.02, ""epochs"": 31, ""val_objective"": -0.004705165512859821}"
robust_dfl,-0.0005628650718295563,-0.002594026765447698,0.010471487616137986,0.010155808468090709,0.005150341478281324,1.9718708961231526,43.459315235022444,-0.0024395178983422916,0.630765422475322,0.24444444444444444,-0.0077315420718125204,0.005137515306364823,research_grid_v3,well_specified_high_sample,0,900,"{""hidden"": 64, ""lr"": 0.001, ""epochs"": 112, ""val_objective"": -0.0030710152350366116}"
dfl_stateful,-0.0008049360807147726,-0.0031804501979845103,0.012256690795082669,0.011877570586348689,0.005907027287699921,2.0107526181689312,107.0321094662789,-0.0015073221996487751,0.7578066998206211,0.17333333333333334,-0.0077315420718125204,0.00455109187382801,research_grid_v3,well_specified_high_sample,0,900,"{""hidden"": 64, ""lr"": 0.02, ""epochs"": 48, ""val_objective"": -0.003150347387418151}"
equal_weight,0.008078088247616548,0.007977732060258489,0.0005017809367902918,0.0005017809367902918,0.0041699214696580755,0.12033342601799722,0.18544976538736366,-0.028751466898548683,0.0,0.8666666666666667,-0.005685380814545884,0.013663112874804373,research_grid_v3,well_specified_high_sample,1,900,{}
