method,test_cvar,objective,mean_return,tc_adjusted_return,volatility,sharpe,sortino,max_drawdown,turnover,tail_loss_frequency,oracle_objective,oracle_regret,experiment,regime,seed,n_periods,selected
dfl_lp,0.006403344005525365,0.005587295224759878,0.004861731612460601,0.004080243903827432,0.005829248529308277,0.6999605322389042,2.2893214500172654,-0.01035935473990901,0.7803452886225384,0.056,0.006801312573016587,-0.0012140173482567086,research_grid_v4,heavy_tail_medium_sample,0,500,"{""init"": {""hidden"": 0, ""lr"": 0.02, ""epochs"": 62, ""val_mse"": 0.7548718452453613}, ""lr"": 0.005, ""epochs"": 14, ""val_objective"": 0.004276911210832334}"
mlp_dfl_lp,0.010539595712158503,0.009953414070568012,0.0036780724290473316,0.0029309082079524568,0.006135302742331675,0.4777120756001806,0.941958588811813,-0.030039142065127478,0.748160955450342,0.128,0.006801312573016587,0.0031521014975514254,research_grid_v4,heavy_tail_medium_sample,0,500,"{""init"": {""hidden"": 64, ""lr"": 0.001, ""epochs"": 55, ""val_mse"": 0.745037317276001}, ""lr"": 0.001, ""epochs"": 14, ""val_objective"": 0.003127900265489478}"
dfl_lp,0.009281358105441692,0.008824724421475206,0.0029651134773610757,0.0022831684198324296,0.005288181082060431,0.43174928845498056,0.8405774486025471,-0.02954193159468721,0.6776833805901358,0.104,0.005211926218696161,0.003612798202779045,research_grid_v4,heavy_tail_medium_sample,1,500,"{""init"": {""hidden"": 0, ""lr"": 0.02, ""epochs"": 67, ""val_mse"": 0.8486970663070679}, ""lr"": 0.005, ""epochs"": 10, ""val_objective"": 0.008184446175413692}"
mlp_dfl_lp,0.008428565004175598,0.00813568529033225,0.002104451070172233,0.0014643985692167415,0.004926963781677318,0.2972212977017228,0.5572582613035952,-0.03453331885165711,0.6363031100868094,0.088,0.005211926218696161,0.0029237590716360883,research_grid_v4,heavy_tail_medium_sample,1,500,"{""init"": {""hidden"": 64, ""lr"": 0.001, ""epochs"": 44, ""val_mse"": 0.8396887183189392}, ""lr"": 0.001, ""epochs"": 1, ""val_objective"": 0.0065982585933845985}"
dfl_lp,0.006851961662960056,0.006059900816966648,0.004652154372946517,0.00396030422996704,0.005982323558997196,0.6620010085126348,1.9574334795610056,-0.02251045565631804,0.6885496088532215,0.088,0.004107666743629146,0.0019522340733375016,research_grid_v4,heavy_tail_medium_sample,2,500,"{""init"": {""hidden"": 0, ""lr"": 0.005, ""epochs"": 102, ""val_mse"": 0.7767384648323059}, ""lr"": 0.001, ""epochs"": 0, ""val_objective"": 0.008075965268588746}"
mlp_dfl_lp,0.009767183595433158,0.009518323025345651,0.00188774923679154,0.0012443028504375375,0.005996120282777473,0.20751799356060346,0.37999695823544477,-0.0441168598420254,0.6419197261462665,0.192,0.004107666743629146,0.005410656281716505,research_grid_v4,heavy_tail_medium_sample,2,500,"{""init"": {""hidden"": 64, ""lr"": 0.001, ""epochs"": 40, ""val_mse"": 0.7826910018920898}, ""lr"": 0.001, ""epochs"": 7, ""val_objective"": 0.006808395362737809}"
dfl_lp,0.009387607618039692,0.008960830244089538,0.0028402017692482724,0.0021338868697507655,0.005873410345400296,0.36331309135561846,0.7225786820856613,-0.023469745875012715,0.7035386559870119,0.096,0.007711555905370151,0.0012492743387193866,research_grid_v4,heavy_tail_medium_sample,3,500,"{""init"": {""hidden"": 0, ""lr"": 0.02, ""epochs"": 77, ""val_mse"": 0.8575875759124756}, ""lr"": 0.001, ""epochs"": 0, ""val_objective"": 0.0037967012164937305}"
mlp_dfl_lp,0.011047670098012998,0.01066099808528636,0.0027015714068059737,0.0019333600636331915,0.006175539965972025,0.3130673712700707,0.5649340798905265,-0.02074688454558482,0.7668636945317918,0.128,0.007711555905370151,0.002949442179916208,research_grid_v4,heavy_tail_medium_sample,3,500,"{""init"": {""hidden"": 64, ""lr"": 0.001, ""epochs"": 69, ""val_mse"": 0.8705519437789917}, ""lr"": 0.001, ""epochs"": 1, ""val_objective"": 0.0038282332912876046}"
dfl_lp,0.009494523748938135,0.009013356796976584,0.003101309639982167,0.0024058347598077535,0.006608643503900257,0.36404365858497983,0.7935678136255963,-0.020683452352422083,0.6953550290985777,0.104,0.007963283789509279,0.0010500730074673049,research_grid_v4,heavy_tail_medium_sample,4,500,"{""init"": {""hidden"": 0, ""lr"": 0.005, ""epochs"": 133, ""val_mse"": 0.9942123889923096}, ""lr"": 0.005, ""epochs"": 5, ""val_objective"": 0.011695801934131842}"
mlp_dfl_lp,0.015782782555960183,0.015842811372666996,0.00026022882824347927,-0.0003001440835340593,0.007567457281238927,-0.03966247477055568,-0.05710287137916647,-0.09299931604510037,0.5566082165290867,0.184,0.007963283789509279,0.007879527583157717,research_grid_v4,heavy_tail_medium_sample,4,500,"{""init"": {""hidden"": 64, ""lr"": 0.001, ""epochs"": 54, ""val_mse"": 1.0123497247695923}, ""lr"": 0.005, ""epochs"": 2, ""val_objective"": 0.011560303432385892}"
