method,test_cvar,objective,mean_return,tc_adjusted_return,volatility,sharpe,sortino,max_drawdown,turnover,tail_loss_frequency,oracle_objective,oracle_regret,experiment,regime,seed,n_periods,selected
two_stage,0.008311989471564453,0.00748166372663422,0.0049073503327231385,0.004151628724651162,0.0072620704174798,0.5716866520719087,1.5273805521096695,-0.012525887468560426,0.7488972937300191,0.3333333333333333,-0.0012774320023355742,0.008759095728969794,sample_size_curve,nonlinear_n250,0,250,{}
mlp_two_stage,0.01234556315242698,0.012315899963807985,0.0006702987119699945,0.0001483159430949749,0.006302467123690276,0.023532997500921297,0.03517299623215155,-0.03658207374381106,0.5158693472862281,0.5079365079365079,-0.0012774320023355742,0.01359333196614356,sample_size_curve,nonlinear_n250,0,250,"{""hidden"": 64, ""lr"": 0.001, ""epochs"": 34, ""val_mse"": 0.856890082359314}"
linear_dfl,0.01499238497233582,0.015135993247175024,-0.00031806552227734016,-0.0007180413741960186,0.006807036219904012,-0.10548517018184143,-0.1347585678994502,-0.08593590681473917,0.39831801600531813,0.5873015873015873,-0.0012774320023355742,0.0164134252495106,sample_size_curve,nonlinear_n250,0,250,"{""hidden"": 0, ""lr"": 0.02, ""epochs"": 13, ""val_objective"": 0.01091037318110466}"
dfl,0.012150801667672267,0.012198111860445974,6.136526102526219e-05,-0.00023655096386853135,0.006226956170914541,-0.03798821725058028,-0.05457458225260294,-0.05752087030980546,0.2902872237727481,0.6031746031746031,-0.0012774320023355742,0.013475543862781549,sample_size_curve,nonlinear_n250,0,250,"{""hidden"": 64, ""lr"": 0.02, ""epochs"": 11, ""val_objective"": 0.008355637080967426}"
two_stage,0.009159754918028985,0.008952271547474877,0.0017293009561975044,0.0010374168527705365,0.0052475560644658645,0.19769523942731562,0.3269482151128411,-0.02844223754448505,0.6882606942634563,0.19047619047619047,0.005024018072118767,0.003928253475356111,sample_size_curve,nonlinear_n250,1,250,{}
mlp_two_stage,0.009381165397357446,0.00961565120328451,-0.0008513671612656735,-0.0011724290296353254,0.003860809981717458,-0.30367436752484334,-0.33950508291060383,-0.07579167323051261,0.3142578653766902,0.25396825396825395,0.005024018072118767,0.0045916331311657435,sample_size_curve,nonlinear_n250,1,250,"{""hidden"": 64, ""lr"": 0.001, ""epochs"": 21, ""val_mse"": 0.9602383375167847}"
linear_dfl,0.010027661998297807,0.01005633954916344,0.0003554094393942635,-0.00014338775432815978,0.004852159351184659,-0.029551328371686763,-0.04160433959606118,-0.05146231163926984,0.49967282304775484,0.19047619047619047,0.005024018072118767,0.005032321477044673,sample_size_curve,nonlinear_n250,1,250,"{""hidden"": 0, ""lr"": 0.005, ""epochs"": 90, ""val_objective"": 0.006530086975544691}"
dfl,0.011998360505602193,0.01216659826595278,-0.0005061413964439236,-0.000841188801752931,0.005218892641633075,-0.16118147265212338,-0.20514751724687172,-0.0704550621530542,0.3280153142950246,0.2857142857142857,0.005024018072118767,0.007142580193834013,sample_size_curve,nonlinear_n250,1,250,"{""hidden"": 16, ""lr"": 0.02, ""epochs"": 26, ""val_objective"": 0.00557882571592927}"
two_stage,0.009446835342131702,0.00878003056344542,0.0040358445659034485,0.003334023893431411,0.006387683059617787,0.5219457292718214,1.1662560382250888,-0.027145638687820717,0.7022327013270735,0.2698412698412698,0.0005541862963486389,0.008225844267096782,sample_size_curve,nonlinear_n250,2,250,{}
mlp_two_stage,0.007103369488358057,0.006627731316220171,0.002970367445884499,0.002378190860689432,0.005909543443289733,0.4024322493114807,0.8847851235471532,-0.017769496133695828,0.593594648538,0.31746031746031744,0.0005541862963486389,0.006073545019871532,sample_size_curve,nonlinear_n250,2,250,"{""hidden"": 64, ""lr"": 0.001, ""epochs"": 43, ""val_mse"": 0.8983212113380432}"
