method,test_cvar,objective,mean_return,tc_adjusted_return,volatility,sharpe,sortino,max_drawdown,turnover,tail_loss_frequency,oracle_objective,oracle_regret,experiment,regime,seed,n_periods,selected
dfl_lp,0.0084246897420214,0.0076250387909244,0.0048046165187427,0.0039982547554847,0.0067015935779345,0.5966125382554693,1.5600790733734375,-0.0131115625466778,0.801257843932246,0.3015873015873015,-0.0012774320023355,0.00890247079326,sample_size_curve_lp,nonlinear_n250,0,250,"{""init"": {""hidden"": 0, ""lr"": 0.02, ""epochs"": 55, ""val_mse"": 0.8792203068733215}, ""lr"": 0.001, ""epochs"": 8, ""val_objective"": 0.003999169220331783}"
mlp_dfl_lp,0.0092725400705795,0.0093940717462082,-0.0001643879852008,-0.0006076583781436,0.0054173889485218,-0.1121681281897482,-0.1522111142151212,-0.0680533448029044,0.4333799556343561,0.6190476190476191,-0.0012774320023355,0.0106715037485438,sample_size_curve_lp,nonlinear_n250,0,250,"{""init"": {""hidden"": 16, ""lr"": 0.001, ""epochs"": 142, ""val_mse"": 0.8554106950759888}, ""lr"": 0.005, ""epochs"": 12, ""val_objective"": 0.009037382498598768}"
dfl_lp,0.0073224083164045,0.0072263000273231,0.0011098126576724,0.0004805414454072,0.0049305344147449,0.0974623448267051,0.1675915457428061,-0.0441067903269545,0.6293780591262452,0.2063492063492063,0.0050240180721187,0.0022022819552043,sample_size_curve_lp,nonlinear_n250,1,250,"{""init"": {""hidden"": 0, ""lr"": 0.005, ""epochs"": 82, ""val_mse"": 0.9570382237434387}, ""lr"": 0.005, ""epochs"": 5, ""val_objective"": 0.004363401891310032}"
mlp_dfl_lp,0.0076493177602538,0.0074593340405111,0.0015174356362702,0.0009499185987132,0.0047068113317837,0.2018178617224159,0.3597722253013944,-0.0241334198768562,0.5651036098774059,0.1746031746031746,0.0050240180721187,0.0024353159683924,sample_size_curve_lp,nonlinear_n250,1,250,"{""init"": {""hidden"": 64, ""lr"": 0.001, ""epochs"": 43, ""val_mse"": 0.9525679349899292}, ""lr"": 0.001, ""epochs"": 2, ""val_objective"": 0.004183182833521014}"
dfl_lp,0.0089022823294866,0.0082113605742213,0.0042044900943802,0.0034546087763268,0.0062383707579456,0.5537677880675833,1.269386120446437,-0.0322320655446886,0.7489705822041263,0.238095238095238,0.0005541862963486,0.0076571742778726,sample_size_curve_lp,nonlinear_n250,2,250,"{""init"": {""hidden"": 0, ""lr"": 0.02, ""epochs"": 48, ""val_mse"": 0.8749507069587708}, ""lr"": 0.005, ""epochs"": 2, ""val_objective"": 0.006214869890399046}"
mlp_dfl_lp,0.0100634207853093,0.0097176686210231,0.0023193830965828,0.0017287608214309,0.006277695254318,0.2753814498985876,0.4777217720187661,-0.0417603430117704,0.5884079480916529,0.2857142857142857,0.0005541862963486,0.0091634823246744,sample_size_curve_lp,nonlinear_n250,2,250,"{""init"": {""hidden"": 64, ""lr"": 0.001, ""epochs"": 43, ""val_mse"": 0.8998708128929138}, ""lr"": 0.005, ""epochs"": 1, ""val_objective"": 0.00437077109944345}"
dfl_lp,0.0091045635195249,0.0088301046395065,0.0020849681328422,0.0013722944000922,0.0055774944417068,0.2460413747048398,0.4329303467742767,-0.022051964158401,0.7083674799470585,0.1746031746031746,0.0057279161778567,0.0031021884616498,sample_size_curve_lp,nonlinear_n250,3,250,"{""init"": {""hidden"": 0, ""lr"": 0.005, ""epochs"": 97, ""val_mse"": 0.9374222755432129}, ""lr"": 0.005, ""epochs"": 9, ""val_objective"": 0.0036057601492962433}"
mlp_dfl_lp,0.0093531207714938,0.0094471865240748,1.0277459443367035e-05,-0.0004703287629049,0.0042580304514504,-0.110456880982217,-0.1420362514503294,-0.0644267634668048,0.4720839058249777,0.1587301587301587,0.0057279161778567,0.003719270346218,sample_size_curve_lp,nonlinear_n250,3,250,"{""init"": {""hidden"": 64, ""lr"": 0.001, ""epochs"": 37, ""val_mse"": 0.9858195185661316}, ""lr"": 0.001, ""epochs"": 5, ""val_objective"": 0.0034251228398852734}"
dfl_lp,0.0072201232589489,0.0068471766323268,0.0024686782064844,0.0018647331331106,0.0055353380643754,0.3368779126201607,0.7562382064615131,-0.0191693715209306,0.601695969067816,0.2698412698412698,0.0008801655165079,0.0059670111158189,sample_size_curve_lp,nonlinear_n250,4,250,"{""init"": {""hidden"": 0, ""lr"": 0.005, ""epochs"": 66, ""val_mse"": 1.0406982898712158}, ""lr"": 0.001, ""epochs"": 0, ""val_objective"": 0.005326797840787245}"
mlp_dfl_lp,0.0060076304524217,0.0058972714887908,0.0009996091859165,0.0005517948181543,0.0036672183139888,0.1504668581903211,0.2609383022559536,-0.0175779740160395,0.4459160570876657,0.3333333333333333,0.0008801655165079,0.0050171059722829,sample_size_curve_lp,nonlinear_n250,4,250,"{""init"": {""hidden"": 64, ""lr"": 0.001, ""epochs"": 35, ""val_mse"": 1.0293960571289062}, ""lr"": 0.001, ""epochs"": 4, ""val_objective"": 0.006146427591285994}"
