method,test_cvar,objective,mean_return,tc_adjusted_return,volatility,sharpe,sortino,max_drawdown,turnover,tail_loss_frequency,oracle_objective,oracle_regret,experiment,regime,seed
equal_weight,0.009126432165741391,0.0086687909699583,0.0022882059789154597,0.0022882059789154597,0.0055999358266327435,0.4086128929593022,0.7812444679292742,-0.02612830637523289,0.0,0.05555555555555555,0.0010737407180452622,0.007595050251913038,smoke,well_specified_small,0
min_variance,0.00817214806913454,0.007739970597243846,0.0021660443504237796,0.002160887359453472,0.00504662810123421,0.4281843868179662,0.9244190581107143,-0.02340426578018262,5.27617781749927e-17,0.05555555555555555,0.0010737407180452622,0.006666229879198584,smoke,well_specified_small,0
two_stage,0.004294253266593366,0.0025823674176709607,0.00906989502228685,0.008559429244612025,0.006595574786224902,1.2977533453476946,3.1412977085950553,-0.006567081062183178,0.511426271516146,0.05555555555555555,0.0010737407180452622,0.0015086266996256984,smoke,well_specified_small,0
robust_two_stage,0.0066010589958045715,0.005284015550112,0.006949321807260747,0.006585217228462857,0.005985059581853214,1.1002759684012258,1.8827226549739102,-0.009115909800558097,0.36131420805142533,0.05555555555555555,0.0010737407180452622,0.0042102748320667375,smoke,well_specified_small,0
dfl,0.005523427354496241,0.003954234117119346,0.008416890304794828,0.007845966186884473,0.007526423964949114,1.0424560485007255,2.918983865533742,-0.008390595360723951,0.5653892145422096,0.05555555555555555,0.0010737407180452622,0.002880493399074084,smoke,well_specified_small,0
robust_dfl,0.004456731745315579,0.002786146389526867,0.008873294997523798,0.008352926778943556,0.0067772916991822515,1.2324874224786477,3.079256177183584,-0.006328292232296584,0.5153591725961025,0.05555555555555555,0.0010737407180452622,0.0017124056714816049,smoke,well_specified_small,0
equal_weight,0.007653841984951962,0.007631332121821353,0.00011254931565304737,0.00011254931565304737,0.004028994634403362,0.027934838796770826,0.047344009458705316,-0.02646444956911398,0.0,0.05555555555555555,0.002509930714898325,0.005121401406923028,smoke,well_specified_small,1
min_variance,0.005543918171481941,0.0055091314856325875,0.00018032340664642912,0.00017393342924676685,0.003405638387760961,0.05107219539830454,0.10299914127036973,-0.03246766267661838,2.7690114352384505e-17,0.05555555555555555,0.002509930714898325,0.0029992007707342625,smoke,well_specified_small,1
two_stage,0.0022010501565647134,0.0012680066766056009,0.005201975798984748,0.004665217399795562,0.0050968784590525425,0.9153087397236993,7.113224349522386,-0.00402882357752532,0.5301603827208543,0.05555555555555555,0.002509930714898325,-0.0012419240382927242,smoke,well_specified_small,1
robust_two_stage,0.004735911834349567,0.004251028129496551,0.0028008887155061726,0.002424418524265076,0.0044780036981003435,0.5414061012839617,1.384103537374667,-0.0102937751474933,0.3698259989248222,0.05555555555555555,0.002509930714898325,0.001741097414598226,smoke,well_specified_small,1
